Route,Rating,Route Type
Big Gulp,Advanced,Bouldering
Meat and Potatoes,Advanced,Bouldering
Kangaroo Meat,Advanced,Bouldering
Tic Tac Toe,Advanced,Bouldering
Bloctopus,Advanced,Bouldering
Squid Pro Quo,Advanced,Bouldering
Mouse on Mars,Advanced,Bouldering
Jesus,Advanced,Bouldering
The Flogiston,Advanced,Bouldering
One Eyed Man,Advanced,Bouldering
Algolian Suntiger,Advanced,Bouldering
Chupapi,Advanced,Bouldering
Balefire,Advanced,Bouldering
Arc of Existence,Advanced,Bouldering
Linear Dilemma,Advanced,Bouldering
Mudpie,Beginner,Bouldering
ARK,Beginner,Bouldering
Right Side,Beginner,Bouldering
Middle ARK,Beginner,Bouldering
Warmup Wall,Beginner,Bouldering
Holy Water,Beginner,Bouldering
One Muv Ruf,Beginner,Bouldering
The Cave,Beginner,Bouldering
Glass,Beginner,Bouldering
Unknown Juggy,Beginner,Bouldering
Variation,Beginner,Bouldering
Flake,Beginner,Bouldering
Northeast Arete,Beginner,Bouldering
Unknown Steep,Beginner,Bouldering
Way Cows,Beginner,Bouldering
Bulbous,Beginner,Bouldering
Bruce Lee,Beginner,Bouldering
Right Arete,Beginner,Bouldering
Lip,Beginner,Bouldering
Unknown Beginner,Beginner,Bouldering
Lip Traverse,Beginner,Bouldering
Unknown,Beginner,Bouldering
Captain Choss,Beginner,Bouldering
Bone Collector,Beginner,Bouldering
Magic Roundabout,Beginner,Bouldering
25 Foot Ronald,Beginner,Bouldering
Bottle o' Fun,Beginner,Bouldering
Charlotte's Web,Beginner,Bouldering
Crack,Beginner,Bouldering
Arete,Beginner,Bouldering
Left Bouldering Cluster,Beginner,Bouldering
Right Bouldering Cluster,Beginner,Bouldering
Me Too,Beginner,Bouldering
Me Three,Beginner,Bouldering
Victory,Beginner,Bouldering
Hamster,Beginner,Bouldering
Unknown Crack,Beginner,Bouldering
Tower One,Beginner,Bouldering
Pan Galactic Gargle Blaster,Beginner,Bouldering
Coppertone,Beginner,Bouldering
